number,contract_name,name,address,lat,lng,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
42,dublin,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198,True,False,30,30,0,OPEN,2020-02-11 10:41:08
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,True,False,20,19,1,OPEN,2020-02-11 10:44:27
54,dublin,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,False,False,33,20,12,OPEN,2020-02-11 10:40:23
108,dublin,AVONDALE ROAD,Avondale Road,53.359405,-6.276142,False,False,40,40,0,OPEN,2020-02-11 10:43:49
56,dublin,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153,False,False,40,6,33,OPEN,2020-02-11 10:46:26
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012,False,False,20,19,1,OPEN,2020-02-11 10:46:58
18,dublin,GRANTHAM STREET,Grantham Street,53.334123,-6.265436,True,False,30,25,3,OPEN,2020-02-11 10:46:51
32,dublin,PEARSE STREET,Pearse Street,53.344304,-6.250427,True,False,30,25,5,OPEN,2020-02-11 10:44:30
52,dublin,YORK STREET EAST,York Street East,53.338755,-6.262003,False,False,32,28,4,OPEN,2020-02-11 10:41:50
48,dublin,EXCISE WALK,Excise Walk,53.347777,-6.244239,False,False,40,32,8,OPEN,2020-02-11 10:46:54
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825,False,False,30,5,25,OPEN,2020-02-11 10:46:55
43,dublin,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044,True,False,30,22,8,OPEN,2020-02-11 10:46:29
81,dublin,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594,False,False,40,30,9,OPEN,2020-02-11 10:43:19
31,dublin,PARNELL STREET,Parnell Street,53.350929,-6.265125,False,False,20,20,0,OPEN,2020-02-11 10:46:18
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,True,False,40,0,40,OPEN,2020-02-11 10:38:03
23,dublin,CUSTOM HOUSE,Custom House,53.348279,-6.254662,True,False,30,26,4,OPEN,2020-02-11 10:42:19
106,dublin,RATHDOWN ROAD,Rathdown Road,53.35893,-6.280337,False,False,40,36,4,OPEN,2020-02-11 10:36:58
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.357841,-6.251557,False,False,30,30,0,OPEN,2020-02-11 10:43:01
68,dublin,HANOVER QUAY,Hanover Quay,53.344115,-6.237153,True,False,40,1,38,OPEN,2020-02-11 10:43:42
74,dublin,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531,False,False,30,30,0,OPEN,2020-02-11 10:38:05
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,True,False,38,37,1,OPEN,2020-02-11 10:40:30
84,dublin,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,False,False,30,30,0,OPEN,2020-02-11 10:40:32
90,dublin,BENSON STREET,Benson Street,53.344153,-6.233451,False,False,40,0,38,OPEN,2020-02-11 10:44:14
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,False,False,30,6,24,OPEN,2020-02-11 10:45:29
17,dublin,GOLDEN LANE,Golden Lane,53.340803,-6.267732,False,False,20,15,5,OPEN,2020-02-11 10:37:15
45,dublin,DEVERELL PLACE,Deverell Place,53.351464,-6.255265,False,False,30,28,2,OPEN,2020-02-11 10:42:34
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),53.333653,-6.248345,True,False,40,0,39,OPEN,2020-02-11 10:44:03
72,dublin,JOHN STREET WEST,John Street West,53.343105,-6.277167,False,False,31,31,0,OPEN,2020-02-11 10:45:45
63,dublin,FENIAN STREET,Fenian Street,53.341428,-6.24672,False,False,35,21,13,OPEN,2020-02-11 10:41:00
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,53.338614,-6.248606,True,False,40,17,23,OPEN,2020-02-11 10:41:33
91,dublin,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291,False,False,30,14,15,OPEN,2020-02-11 10:46:48
99,dublin,CITY QUAY,City Quay,53.346637,-6.246154,False,False,30,0,29,OPEN,2020-02-11 10:46:27
9,dublin,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578,False,False,24,7,15,OPEN,2020-02-11 10:41:20
67,dublin,THE POINT,The Point,53.346867,-6.230852,False,False,40,20,20,OPEN,2020-02-11 10:37:52
55,dublin,HATCH STREET,Hatch Street,53.33403,-6.260714,False,False,36,3,33,OPEN,2020-02-11 10:45:30
62,dublin,LIME STREET,Lime Street,53.346026,-6.243576,False,False,40,3,37,OPEN,2020-02-11 10:40:29
5,dublin,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,False,False,40,29,11,OPEN,2020-02-11 10:43:15
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015,True,False,40,39,1,OPEN,2020-02-11 10:44:19
61,dublin,HARDWICKE PLACE,Hardwicke Place,53.357043,-6.263232,True,False,25,25,0,OPEN,2020-02-11 10:45:48
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,53.348875,-6.267459,False,False,29,24,5,OPEN,2020-02-11 10:44:07
73,dublin,FRANCIS STREET,Francis Street,53.342081,-6.275233,False,False,30,30,0,OPEN,2020-02-11 10:39:14
4,dublin,GREEK STREET,Greek Street,53.346874,-6.272976,False,False,20,17,3,OPEN,2020-02-11 10:45:36
